Ep: 257 | Score: 377.0 | Avg: 320.8 | Best: 684.0
Ep: 258 | Score: 174.0 | Avg: 320.7 | Best: 684.0
Ep: 259 | Score: 357.0 | Avg: 327.0 | Best: 684.0
Ep: 260 | Score: 173.0 | Avg: 326.0 | Best: 684.0
Ep: 261 | Score: 394.0 | Avg: 334.9 | Best: 684.0
Ep: 262 | Score: 187.0 | Avg: 326.9 | Best: 684.0
Ep: 263 | Score: 176.0 | Avg: 317.9 | Best: 684.0
Ep: 264 | Score: 365.0 | Avg: 324.8 | Best: 684.0
Ep: 265 | Score: 349.0 | Avg: 323.6 | Best: 684.0
Ep: 266 | Score: 157.0 | Avg: 314.6 | Best: 684.0
Ep: 267 | Score: 448.0 | Avg: 317.7 | Best: 684.0
Ep: 268 | Score: 433.0 | Avg: 327.5 | Best: 684.0
Ep: 269 | Score: 196.0 | Avg: 308.0 | Best: 684.0
Ep: 270 | Score: 425.0 | Avg: 309.3 | Best: 684.0
Ep: 271 | Score: 194.0 | Avg: 309.2 | Best: 684.0
Ep: 272 | Score: 409.0 | Avg: 310.7 | Best: 684.0
Ep: 273 | Score: 403.0 | Avg: 310.0 | Best: 684.0
Ep: 274 | Score: 197.0 | Avg: 301.0 | Best: 684.0
Ep: 275 | Score: 135.0 | Avg: 288.8 | Best: 684.0
Ep: 276 | Score: 196.0 | Avg: 283.1 | Best: 684.0
Ep: 277 | Score: 377.0 | Avg: 291.4 | Best: 684.0
Ep: 278 | Score: 174.0 | Avg: 290.6 | Best: 684.0
Ep: 279 | Score: 369.0 | Avg: 288.8 | Best: 684.0
Ep: 280 | Score: 359.0 | Avg: 295.3 | Best: 684.0
Ep: 281 | Score: 181.0 | Avg: 288.2 | Best: 684.0
Ep: 282 | Score: 172.0 | Avg: 280.0 | Best: 684.0
Ep: 283 | Score: 388.0 | Avg: 288.6 | Best: 684.0
Ep: 284 | Score: 374.0 | Avg: 289.2 | Best: 684.0
Ep: 285 | Score: 380.0 | Avg: 297.5 | Best: 684.0
Ep: 286 | Score: 456.0 | Avg: 300.0 | Best: 684.0
Ep: 287 | Score: 431.0 | Avg: 309.8 | Best: 684.0
Ep: 288 | Score: 146.0 | Avg: 308.6 | Best: 684.0
Ep: 289 | Score: 186.0 | Avg: 301.4 | Best: 684.0
Ep: 290 | Score: 411.0 | Avg: 303.9 | Best: 684.0
Ep: 291 | Score: 480.0 | Avg: 316.8 | Best: 684.0
Ep: 292 | Score: 194.0 | Avg: 306.6 | Best: 684.0
Ep: 293 | Score: 181.0 | Avg: 296.6 | Best: 684.0
Ep: 294 | Score: 356.0 | Avg: 303.0 | Best: 684.0
Ep: 295 | Score: 462.0 | Avg: 304.4 | Best: 684.0
Ep: 296 | Score: 375.0 | Avg: 311.7 | Best: 684.0
Ep: 297 | Score: 185.0 | Avg: 302.7 | Best: 684.0
Ep: 298 | Score: 396.0 | Avg: 302.4 | Best: 684.0
Ep: 299 | Score: 395.0 | Avg: 310.4 | Best: 684.0
